o,d,f
063S,042S,194
063S,059S,133
063V,094V,335
064A,010A,222
064S,028S,330
064S,060S,106
064V,136V,118
065A,091A,125
065A,31MU,102
065M,053M,618
065M,061M,111
065M,100M,249
065M,101M,454
065M,133M,166
065M,137M,223
065M,138M,304
065S,022S,174
065V,017V,257
065V,018V,259
066B,311B,175
066B,313B,158
066B,43TA,215
066M,043M,647
066S,017S,704
066V,069V,130
066V,071V,138
066V,104V,171
067A,012A,291
067A,066A,161
067A,070A,108
067S,060S,223
068A,066A,135
068A,067A,129
068A,070A,141
068B,046B,139
068B,093B,416
068M,081M,104
068S,031S,478
068S,042S,296
068V,029V,277
069A,012A,258
069A,067A,292
069A,070A,156
069B,119B,247
069B,121B,291
069B,314B,134
069B,315B,202
069B,324B,305
069M,020M,106
069S,025S,465
069S,039S,271
069S,106S,118
069V,071V,112
069V,117V,155
06BI,25BI,158
06BI,26BI,130
06CC,40CC,149
06CE,01CE,110
06CE,05CE,130
06CO,02CO,183
06CO,59CO,265
06CR,07CR,117
06CZ,20CZ,162
06GC,07GC,150
06GC,21GC,140
06GC,38GC,143
06GC,57GC,250
06GI,55GI,110
06GR,67GR,149
06HS,20HS,157
06JA,20CO,114
06JA,30JA,150
06LE,47LE,157
06ME,01ME,104
06ME,02ME,170
06ME,03ME,308
06ME,04ME,365
06ME,05ME,390
06ME,07ME,440
06MU,61MU,344
06MU,64MU,960
06MU,65MU,408
06OU,01OU,137
06PO,50PO,160
06VA,36VA,152
06VA,37VA,187
06VI,17VI,100
070A,012A,170
070A,066A,128
070A,067A,157
070B,048B,137
070B,060B,321
070B,071B,304
070B,244B,146
070V,111V,255
070V,133V,100
070V,165V,155
071A,012A,108
071B,048B,182
071B,070B,357
071S,019S,193
071V,066V,176
071V,069V,131
071V,104V,136
072A,012A,753
072A,013A,241
072B,231B,466
072B,232B,186
072B,233B,253
072B,235B,368
072B,308B,171
072B,309B,352
072M,045M,185
072M,288M,620
072M,289M,117
072S,052S,124
072S,059S,455
072S,112S,221
072S,114S,313
073A,074A,267
073A,075A,337
073A,076A,124
073B,253B,103
073B,256B,153
073M,077M,131
073V,064V,155
073V,145V,162
074A,073A,186
074A,075A,257
074B,002B,190
074B,129B,579
074B,145B,417
074M,078M,101
074V,101V,382
074V,162V,156
075A,073A,323
075A,074A,397
075A,076A,259
075B,086B,298
075B,133B,301
075M,053M,146
075M,096M,113
075S,077S,137
075S,082S,118
075S,096S,108
075V,003V,170
075V,051V,121
075V,089V,316
076A,039A,223
076A,073A,120
