o,d,f
12CZ,15CZ,311
12GI,35GI,133
12GP,39GP,287
12GR,15GR,126
12GR,49GR,202
12LL,44LL,140
12LU,30LU,191
12MA,09MA,123
12OU,13OU,115
12PO,19PO,290
12PO,28PO,405
12PO,36PO,132
12SA,11SA,120
12TE,17TE,108
12TF,21TF,376
12TF,40TF,166
12VI,13VI,842
12VI,14VI,760
12VI,15VI,395
12VI,16VI,381
12VI,17VI,617
130B,146B,173
130M,129M,596
130V,084V,121
130V,100V,163
130V,138V,189
130V,144V,153
130V,158V,111
131B,102B,140
131B,147B,118
131B,276B,279
131B,281B,409
131B,301B,216
131M,097M,158
131M,123M,216
131M,132M,574
131M,198M,117
131M,206M,171
131V,060V,311
131V,108V,491
132B,019B,117
132B,028B,210
132M,131M,553
132M,198M,569
132V,090V,120
132V,115V,239
132V,116V,107
132V,118V,114
132V,128V,178
132V,130V,110
133B,086B,194
133M,065M,216
133M,075M,125
133M,286M,657
133V,019V,130
133V,070V,119
134B,013B,105
134B,085B,466
134B,095B,193
134B,116B,434
134B,141B,127
134M,122M,196
134M,123M,410
134M,289M,656
134V,129V,303
134V,161V,370
135B,094B,140
135B,277B,109
135M,028M,142
135M,292M,164
135M,293M,223
135V,016V,240
135V,047V,257
135V,083V,275
135V,111V,392
136B,123B,192
136M,061M,169
136M,137M,971
136M,139M,644
136V,064V,167
136V,092V,103
136V,145V,196
136V,150V,413
137M,065M,317
137M,136M,920
137M,138M,292
137V,152V,171
137V,155V,298
137V,157V,236
137V,165V,469
138B,047B,118
138B,082B,180
138M,065M,312
138M,136M,130
138M,137M,281
138M,139M,272
138V,090V,142
138V,091V,118
138V,109V,490
138V,130V,315
138V,156V,113
138V,158V,184
139B,087B,192
139M,136M,674
139M,137M,118
139M,138M,297
139V,090V,569
139V,099V,164
139V,102V,560
139V,124V,158
139V,141V,217
139V,148V,109
13AL,25AL,166
13AS,34AS,100
13AS,57AS,160
13BA,09BA,159
13BI,09BI,165
13BI,50BI,189
13CO,08CO,145
13CO,09CO,126
13CS,19CS,108
13CZ,11CZ,111
13GR,01GR,147
13JA,44JA,138
13LL,01LL,288
13LL,20LL,111
13LL,21LL,122
13PO,23PO,114
13PO,39PO,167
13TA,32TA,131
13TA,66TA,108
13TA,67TA,105
13TF,02TF,311
13TF,18TF,130
13TF,29TF,112
13VA,24VA,110
13VI,04VI,217
13VI,06VI,132
13VI,12VI,661
13VI,14VI,177
13VI,15VI,204
13VI,16VI,1004
13VI,17VI,1389
140B,036B,120
140B,037B,263
140M,036M,194
140M,141M,669
140V,046V,150
140V,077V,189
140V,085V,367
140V,098V,220
140V,149V,175
141M,140M,1013
141V,090V,708
141V,099V,251
141V,102V,135
141V,116V,130
141V,139V,190
141V,154V,320
142B,007B,129
142M,144M,121
142M,147M,108
142M,148M,128
142M,149M,156
142M,200M,158
142V,003V,315
142V,051V,106
142V,093V,248
143B,013B,127
143M,144M,287
143V,112V,321
143V,129V,549
143V,145V,649
144B,033B,231
144B,034B,151
144B,038B,329
144M,142M,149
144M,143M,352
144M,145M,155
144M,150M,209
144M,154M,144
144V,084V,143
144V,110V,114
144V,130V,104
145B,074B,411
145B,129B,102
145V,073V,136
145V,110V,120
145V,112V,184
145V,136V,179
145V,143V,520
145V,150V,345
146B,020B,135
146B,021B,163
146B,024B,192
146B,130B,150
146M,147M,159
146V,057V,112
147B,131B,258
147B,301B,147
147M,146M,220
147V,013V,152
147V,019V,416
147V,121V,107
147V,127V,194
148B,149B,227
148B,150B,119
148B,154B,158
148V,092V,133
148V,102V,210
148V,106V,116
148V,108V,182
148V,121V,165
148V,124V,140
149B,148B,373
149B,150B,239
149B,151B,721
149B,152B,143
149B,154B,324
149M,142M,202
149M,150M,218
149M,199M,191
149M,200M,216
149M,213M,261
149V,015V,539
149V,077V,358
149V,140V,174
14AB,01AB,102
14AL,28AL,182
14AS,39AS,136
14BI,29BI,385
14CA,13CA,133
14CS,35CS,308
14CS,36CS,163
14CS,37CS,160
14CS,38CS,413
14CZ,10CZ,180
14CZ,11CZ,183
14CZ,56CZ,124
14CÑ,27CÑ,161
14HS,17HS,117
14JA,10JA,148
14MA,37MA,292
14MA,39MA,189
14MA,56MA,103
14OU,25OU,142
14OU,26OU,200
14PO,05PO,195
14TA,45TA,147
14TA,58TA,187
14TF,19TF,205
14VI,12VI,691
14VI,13VI,237
14VI,15VI,408
14VI,16VI,548
14VI,17VI,2013
14ZA,32ZA,215
150B,148B,250
150B,149B,289
150B,154B,434
150B,156B,545
150M,144M,172
150M,149M,161
150M,151M,292
150M,154M,154
150M,211M,273
150M,213M,189
150V,136V,505
150V,145V,500
150V,154V,294
151B,149B,923
151B,152B,243
151B,153B,291
151B,155B,168
151M,150M,316
151M,153M,305
151M,224M,140
151V,037V,262
152B,148B,104
152B,149B,120
152B,151B,322
152M,153M,292
152M,223M,150
152M,227M,106
152V,109V,313
152V,122V,141
152V,137V,169
152V,140V,127
152V,153V,186
152V,163V,332
153B,151B,221
153B,155B,133
153M,151M,184
153M,152M,427
153M,154M,263
153M,155M,150
153V,114V,185
153V,152V,202
153V,157V,408
154B,148B,360
154B,149B,461
154B,150B,421
154B,151B,125
154B,156B,556
154M,150M,136
154M,153M,396
154V,090V,195
154V,106V,253
154V,115V,389
154V,141V,211
154V,144V,132
154V,150V,236
155B,151B,198
155B,153B,191
155B,296B,196
155B,299B,100
155B,300B,230
155M,153M,260
155M,156M,294
155M,159M,539
155M,235M,101
155V,016V,102
155V,137V,307
155V,165V,682
156B,108B,845
156B,150B,650
156B,154B,795
156B,299B,104
156M,152M,126
156M,155M,317
156M,228M,162
156M,235M,373
156V,100V,386
156V,109V,226
156V,130V,117
156V,138V,117
156V,161V,372
156V,163V,100
157B,158B,385
157B,159B,157
157B,171B,233
157B,172B,342
157M,158M,100
157M,159M,136
157M,162M,137
157M,235M,139
157M,239M,443
157V,137V,223
157V,153V,445
158B,157B,392
158B,159B,122
158B,171B,253
158M,159M,163
158M,161M,120
158M,162M,124
158V,091V,257
158V,119V,631
158V,128V,266
158V,130V,191
158V,132V,110
158V,138V,235
159B,161B,195
159M,155M,315
159M,158M,137
159V,041V,178
15BA,54BA,102
15BI,29BI,125
15CA,47BI,137
15CO,26CO,235
15CO,61CO,235
15CS,30CS,103
15CZ,07CZ,136
15CZ,08CZ,212
15CZ,09CZ,320
15CZ,10CZ,396
15CZ,11CZ,132
15CZ,16CZ,147
15CZ,17CZ,119
15CZ,19CZ,165
15CZ,20CZ,126
15CZ,52CZ,291
15GC,03GC,246
15GC,13GC,116
15GR,22CO,104
15HU,16HU,114
15LL,01LL,117
15MA,57MA,138
15MA,61MA,119
15PO,20PO,122
15PO,35PO,188
15PO,45PO,111
15TA,14TA,123
15TA,16TA,118
15TF,31TF,230
15VI,12VI,565
15VI,13VI,353
15VI,14VI,343
15VI,17VI,1028
160B,161B,125
160V,017V,104
160V,094V,828
160V,097V,369
160V,129V,125
160V,161V,151
160V,165V,439
161B,159B,156
161B,160B,121
161B,166B,150
161M,158M,102
161M,160M,155
161M,162M,231
161M,164M,163
161V,081V,182
161V,100V,212
161V,134V,263
161V,156V,307
161V,160V,136
161V,163V,428
162B,161B,113
162B,163B,179
162B,166B,379
162B,223B,345
162M,161M,196
162M,166M,120
162M,243M,106
162M,244M,120
162V,074V,185
162V,101V,1038
162V,114V,194
163B,162B,162
163B,164B,379
163B,221B,353
163B,222B,118
163M,166M,182
163M,168M,193
163M,249M,116
163V,109V,159
163V,137V,144
163V,152V,360
163V,161V,689
163V,165V,152
164B,163B,406
164B,166B,109
164B,196B,134
164B,197B,307
164M,161M,178
164M,165M,105
164M,166M,173
164V,050V,112
164V,057V,107
164V,103V,110
164V,123V,263
165B,166B,141
165B,195B,120
165B,196B,122
165M,182M,104
165V,016V,130
165V,070V,171
165V,094V,303
165V,097V,175
165V,137V,295
165V,155V,619
165V,160V,357
165V,161V,101
166B,161B,128
166B,162B,170
166B,165B,118
166M,162M,127
166M,163M,216
166M,164M,224
167B,168B,118
167B,170B,146
167B,171B,148
167M,170M,111
167M,174M,149
167M,183M,108
168B,167B,136
168B,169B,186
168M,163M,225
168M,169M,400
168M,250M,211
169B,168B,198
169B,170B,580
169B,181B,257
169M,168M,343
169M,170M,150
16AB,01AB,112
16BI,29BI,192
16CC,18CC,149
16CO,62CO,264
16CS,056V,157
16CZ,15CZ,107
16CZ,18CZ,105
16CÑ,49CÑ,181
16CÑ,51CÑ,196
16CÑ,57CÑ,194
16CÑ,59CÑ,410
16CÑ,70CÑ,262
16GC,20GC,222
16GC,22GC,120
16GC,29GC,394
16GP,28GP,146
16HU,15HU,215
16JA,17JA,193
16JA,45JA,177
16LL,01LL,119
16MU,15MU,146
16OU,26OU,106
16PO,26PO,132
16PO,52PO,181
16PO,63PO,428
16TF,08TF,144
16TF,15TF,304
16TF,31TF,115
16VI,12VI,240
16VI,13VI,937
16VI,14VI,433
16VI,17VI,1199
170B,167B,204
170B,169B,226
170B,171B,330
170B,176B,117
170M,167M,106
170M,169M,166
170M,171M,399
170M,250M,232
171B,157B,214
171B,158B,241
171B,167B,183
171B,170B,391
171B,173B,336
171M,170M,343
171M,172M,145
171M,250M,152
172B,157B,429
172B,173B,271
172M,171M,165
172M,176M,239
172M,189M,127
172M,190M,119
172M,251M,152
173B,171B,393
173B,172B,226
173B,174B,380
173B,176B,185
173M,174M,314
173M,178M,209
173M,196M,358
174B,173B,215
174B,177B,209
174B,320B,143
174B,324B,244
174M,173M,153
174M,175M,198
174M,183M,192
175B,174B,184
175B,176B,171
175B,177B,179
175M,170M,106
175M,174M,184
175M,177M,160
175M,178M,119
176B,170B,121
176B,173B,170
176B,174B,132
176B,177B,117
176M,172M,380
176M,177M,280
176M,189M,252
177B,174B,252
177B,178B,115
177B,179B,280
177B,317B,156
177B,319B,127
177M,175M,222
177M,176M,229
177M,178M,195
177M,188M,204
177M,197M,217
178B,177B,170
178B,179B,304
178B,183B,190
178B,317B,298
178B,318B,187
178M,173M,169
178M,174M,122
178M,175M,136
178M,177M,206
178M,197M,233
179B,176B,120
179B,177B,430
179B,178B,392
179B,180B,260
179B,183B,111
179M,180M,236
179M,184M,165
179M,195M,122
17AL,39AL,154
17CO,63CO,245
17CR,32CR,160
17CS,15CS,103
17CS,24CS,168
17CZ,18CZ,465
17CZ,19CZ,308
17CÑ,59CÑ,298
17GI,18GI,136
17GP,18GP,141
17GU,18GU,122
17GU,22GU,114
17HS,14HS,118
17JA,16JA,167
17LE,33LE,113
17MU,10MU,201
17MU,23MU,178
17OU,28OU,145
17PO,05PO,155
17SA,32SA,110
17TE,11TE,200
17TE,12TE,163
17TF,35TF,123
17VI,13VI,151
17VI,14VI,155
17VI,16VI,166
180B,179B,219
180B,181B,252
180M,179M,244
180M,181M,196
181B,169B,176
181B,180B,220
181B,182B,324
181B,188B,132
181M,147M,118
181M,180M,154
181M,182M,167
182B,181B,321
182B,183B,172
182M,165M,119
182M,181M,175
182M,183M,129
183B,178B,182
183B,182B,170
183B,184B,131
183B,318B,247
183M,174M,204
183M,182M,135
183M,184M,102
184B,183B,134
184B,185B,341
184M,179M,299
184M,183M,125
184M,196M,180
185B,184B,308
185B,186B,345
185B,188B,134
185M,186M,181
185M,187M,645
185M,189M,165
185M,193M,304
185M,196M,125
185M,197M,470
186B,185B,316
186B,187B,130
186B,188B,166
186M,185M,222
186M,191M,117
186M,193M,545
186M,197M,109
187B,185B,101
187B,186B,158
187B,188B,210
187B,189B,153
187B,190B,308
187B,191B,134
187M,185M,344
187M,188M,672
187M,189M,344
187M,197M,301
188B,168B,103
188B,181B,162
188B,185B,105
188B,186B,206
188B,187B,206
188B,189B,455
188M,176M,103
188M,177M,205
188M,187M,618
188M,189M,384
188M,197M,203
189B,187B,124
189B,188B,450
189B,190B,260
189B,194B,117
189M,172M,126
189M,176M,215
189M,187M,344
189M,188M,288
189M,190M,439
189M,193M,176
18AB,055V,147
18AL,02AL,101
18AL,03AL,350
18AL,45AL,167
18BA,22BA,113
18CC,36CC,122
18CR,32CR,158
18CZ,15CZ,153
18CZ,16CZ,283
18CZ,17CZ,947
18CZ,19CZ,673
18GC,26GC,185
18GC,38GC,135
18GC,43GC,108
18GI,20GI,134
18GI,63GI,147
18GP,17GP,145
18GR,60GR,145
18GU,17GU,124
18GU,19GU,285
18LU,26LU,218
18MU,04MU,129
18PA,01PA,489
18PA,19PA,489
18PA,22PA,489
18PO,81CÑ,135
18PO,83CÑ,207
18TF,02TF,175
18TF,13TF,204
18TF,29TF,362
190B,187B,308
190B,189B,246
190B,191B,303
190B,194B,224
190M,172M,117
190M,189M,440
190M,191M,226
190M,192M,186
190M,193M,319
191B,190B,262
191B,192B,165
191B,194B,127
191B,200B,143
191M,190M,204
191M,192M,225
191M,193M,220
191M,198M,321
192B,191B,218
192M,190M,119
192M,191M,226
192M,193M,125
192M,258M,161
192M,259M,187
192M,290M,109
193B,194B,235
193B,196B,104
193B,198B,119
193M,185M,193
193M,186M,347
193M,189M,165
193M,190M,324
193M,191M,318
193M,192M,153
194B,189B,180
194B,190B,240
194B,191B,150
194B,193B,221
194B,195B,484
194B,196B,259
194M,202M,129
195B,165B,102
195B,194B,319
195B,196B,353
195M,179M,206
195M,194M,368
196B,164B,149
196B,165B,216
196B,193B,108
196B,194B,249
196B,195B,509
196B,197B,420
196B,198B,180
196B,203B,173
196M,173M,122
196M,184M,156
197B,164B,279
197B,193B,102
197B,196B,402
197B,198B,218
197B,203B,474
197M,177M,253
197M,178M,182
197M,185M,458
197M,187M,265
197M,188M,216
197M,196M,142
198B,193B,114
198B,196B,105
198B,197B,240
198B,203B,154
198M,131M,105
198M,132M,583
198M,191M,192
199B,196B,139
199B,198B,316
199B,200B,710
199B,201B,806
199B,202B,544
199B,203B,105
199B,206B,100
199M,149M,206
199M,200M,245
199M,201M,107
199M,202M,174
199M,213M,183
19AB,064A,140
19BA,54BA,172
19BI,39BI,148
19BU,22BU,315
19CO,57CO,231
19CR,05CR,245
19CS,13CS,160
19CU,27CU,124
19CZ,15CZ,115
19CZ,17CZ,244
19CZ,18CZ,249
19CZ,20CZ,118
19GC,08GC,595
19GI,53GI,201
19GI,63GI,110
19GU,052M,137
19GU,18GU,916
19HU,24HU,503
19LO,02LO,132
19LO,23LO,188
19LO,25LO,235
19MA,08MA,204
19MU,03MU,139
19OU,28OU,137
19PA,22PA,230
19PO,12PO,249
19PO,28PO,360
19SG,10SG,133
19SG,20SG,322
19TF,03TF,455
19TF,14TF,340
19VA,26VA,280
19VA,43VA,172
19VA,45VA,371
200B,191B,180
200B,199B,277
200B,201B,713
200B,202B,172
200B,207B,122
200M,142M,185
200M,149M,249
200M,194M,198
200M,199M,165
200M,201M,116
201B,199B,239
201B,200B,588
201B,202B,351
201B,204B,194
201B,207B,222
201M,199M,114
201M,202M,146
202B,199B,190
202B,200B,150
202B,201B,444
202B,204B,186
202M,194M,332
202M,199M,362
202M,201M,168
202M,203M,502
202M,205M,230
203B,196B,144
203B,197B,419
203B,198B,162
203B,204B,194
203B,217B,102
203B,218B,167
203B,219B,254
203B,220B,157
203B,221B,321
203M,202M,398
203M,204M,101
203M,205M,316
203M,214M,193
204B,201B,334
204B,202B,211
204B,203B,273
204B,205B,254
204B,206B,203
204B,217B,127
204B,219B,245
204M,203M,146
204M,205M,100
205B,201B,113
205B,204B,259
205B,206B,235
205B,207B,505
205B,211B,705
205B,217B,417
205M,202M,247
205M,203M,353
205M,204M,141
205M,207M,166
205M,208M,136
206B,200B,123
206B,201B,156
206B,204B,267
206B,205B,168
206M,131M,327
206M,207M,124
206M,208M,116
207B,200B,167
207B,201B,362
207B,205B,310
207B,210B,124
207M,089M,109
207M,208M,243
207M,210M,240
207M,216M,102
208M,205M,126
208M,207M,388
208M,210M,154
209B,207B,109
209B,211B,302
209B,212B,159
20AL,02AL,115
20AS,23AS,163
20BA,21BA,103
20CO,66CO,241
20CS,10CS,148
20CS,24CS,179
20CS,34CS,112
20CS,35CS,105
20CS,36CS,330
20CS,37CS,102
20CS,39CS,151
20CS,41CS,340
20CZ,01CZ,117
20CZ,06CZ,153
20CZ,15CZ,144
20CZ,19CZ,144
20CÑ,21LU,171
20GC,09GC,118
20GC,16GC,206
20GC,23GC,164
20GC,28GC,414
20GC,29GC,536
20GI,18GI,139
20GP,53GP,199
20GR,55GR,125
20HS,06HS,157
20HU,21CZ,185
20HU,22HU,153
20HU,24CZ,357
20MU,66MU,105
20PO,15PO,137
20PO,73CÑ,387
20TF,22TF,169
20TF,30TF,112
20TO,64TO,106
20ZA,19ZA,142
20ZM,11ZM,340
20ZM,12ZM,149
210B,207B,306
210B,209B,142
210B,211B,392
210M,207M,478
210M,208M,216
210M,216M,321
210M,219M,103
211B,205B,268
211B,207B,102
211B,209B,158
211B,210B,137
211B,212B,147
211B,217B,464
211M,150M,454
211M,212M,292
211M,213M,188
211M,224M,357
212B,211B,155
212B,217B,104
212B,297B,106
212M,150M,112
212M,211M,139
212M,213M,603
212M,215M,228
212M,218M,197
213B,086B,465
213M,149M,247
213M,150M,246
213M,199M,185
213M,211M,125
213M,212M,500
213M,214M,249
214B,212B,136
214B,297B,249
214B,298B,132
214M,203M,212
214M,213M,419
214M,215M,477
214M,219M,189
215B,108B,120
215B,216B,272
215B,217B,106
215B,299B,169
215M,212M,285
215M,213M,125
215M,214M,351
215M,216M,154
215M,217M,248
215M,218M,697
215M,219M,326
216B,215B,428
216B,217B,778
216B,218B,102
216B,229B,106
216M,207M,192
216M,210M,280
216M,215M,113
216M,217M,324
216M,219M,264
217B,203B,115
217B,205B,235
217B,211B,378
217B,212B,142
217B,215B,130
217B,216B,549
217B,218B,181
217M,117M,149
217M,119M,451
217M,120M,183
217M,215M,170
217M,216M,351
217M,218M,170
217M,220M,113
217M,262M,104
218B,203B,185
218B,217B,178
218B,219B,254
218B,220B,458
218B,228B,282
218B,229B,481
218M,212M,158
218M,215M,754
218M,217M,267
219B,203B,233
219B,204B,186
219B,218B,156
219M,214M,137
219M,215M,239
219M,216M,274
21AS,08AS,143
21AS,72AS,260
21AS,73AS,145
21BA,07HU,115
21BI,35BI,152
21CO,63CO,109
21CZ,20HU,133
21CÑ,16CÑ,195
21CÑ,47CÑ,158
21CÑ,51CÑ,283
21CÑ,57CÑ,140
21GP,02GP,167
21HU,15HU,115
21JA,38JA,100
21LL,01LL,138
21LL,32LL,160
21LL,47LL,150
21LU,20CÑ,158
21LU,32LU,186
21PA,19PA,219
21PA,23PA,488
21PO,36PO,238
21SA,17SA,146
21SA,31SA,103
21SG,22SG,139
21SG,25SG,111
21TF,12TF,232
21VA,23VA,115
21ZM,02ZM,305
21ZM,03ZM,152
21ZM,22ZM,321
220B,203B,222
220B,218B,529
220B,221B,358
220B,222B,158
220B,228B,149
220M,217M,181
220M,221M,191
220M,226M,146
220M,262M,131
221B,163B,324
221B,203B,293
221B,220B,293
221B,222B,280
221M,220M,131
221M,222M,226
221M,223M,155
221M,227M,108
222B,163B,146
222B,220B,240
222B,221B,399
222B,227B,229
222B,228B,334
222M,221M,187
222M,227M,325
222M,265M,194
223B,162B,238
223B,225B,104
223M,152M,150
223M,221M,150
223M,224M,140
223M,226M,139
224B,160B,113
224M,150M,143
224M,151M,157
224M,211M,382
224M,212M,161
224M,223M,177
225B,223B,131
225B,226B,361
225B,227B,488
225M,212M,191
225M,218M,156
225M,220M,115
225M,226M,434
226B,225B,246
226B,227B,143
226M,220M,151
226M,221M,100
226M,223M,199
226M,225M,233
227B,108B,137
227B,222B,122
227B,225B,414
227B,226B,151
227B,228B,276
227B,229B,131
227B,230B,221
227M,152M,156
227M,222M,377
227M,229M,132
227M,230M,403
227M,231M,113
227M,236M,302
227M,264M,132
227M,265M,170
227M,268M,810
228B,218B,339
228B,220B,152
228B,222B,326
228B,227B,398
228B,229B,244
228M,156M,146
228M,229M,106
228M,235M,373
228M,236M,115
229B,108B,150
229B,215B,144
229B,216B,102
229B,218B,568
229B,227B,198
229B,228B,246
229B,230B,242
229M,227M,159
229M,228M,246
229M,230M,145
229M,233M,163
229M,234M,157
229M,235M,284
229M,236M,411
22AB,33CR,294
22AL,31AL,114
22AV,01AV,147
22AV,02AV,180
22AV,03AV,517
22BA,23BA,162
22BI,35BI,112
22BU,18BU,110
22BU,19BU,536
22CA,24CA,192
22CA,30CA,173
22CA,31CA,136
22CO,58CO,353
22CR,63CO,107
22CS,27CS,197
22CS,31CS,158
22CZ,23CZ,151
22CZ,24CZ,111
22CZ,25CZ,486
22CÑ,48CÑ,117
22GC,16GC,119
22GC,27GC,119
22GI,37GI,141
22GU,03GU,146
22GU,17GU,136
22GU,23GU,346
22GU,24GU,266
22GU,25GU,335
22HS,01HS,119
22HU,20HU,310
22JA,38JA,120
22LE,32LE,158
22LL,19HS,138
22LO,23LO,188
22MA,34MA,127
22NA,47NA,197
22PA,02PA,146
22PA,19PA,426
22PA,23PA,222
22PA,24PA,231
22PO,01PO,160
22PO,64PO,241
22SG,01SG,135
22SG,10SG,100
22SG,21SG,149
22SG,23SG,154
22TF,04TF,154
22TF,20TF,157
22ZM,01ZM,186
22ZM,02ZM,247
22ZM,03ZM,151
22ZM,09ZM,106
22ZM,21ZM,270
230B,108B,1016
230B,226B,149
230B,227B,459
230B,229B,231
230M,227M,437
230M,229M,113
230M,231M,298
230M,268M,263
231B,072B,703
231B,232B,122
231B,233B,102
231M,230M,198
231M,232M,286
231M,233M,267
231M,268M,880
231M,270M,113
232B,072B,191
232B,233B,108
232B,235B,623
232M,231M,304
232M,233M,171
232M,267M,186
232M,268M,190
232M,270M,158
232M,271M,235
233B,072B,384
233B,231B,126
233B,232B,198
233B,235B,270
233M,231M,280
233M,232M,181
233M,234M,441
233M,241M,142
234B,136B,159
234B,235B,245
234M,233M,143
234M,235M,402
235B,072B,280
235B,232B,289
235B,233B,159
235B,234B,148
235M,155M,107
235M,156M,351
235M,157M,158
235M,228M,417
235M,229M,170
235M,234M,458
235M,240M,127
236B,237B,202
236B,238B,184
236M,227M,281
236M,228M,151
236M,229M,286
237B,314B,117
237M,238M,157
237M,240M,132
237M,271M,151
238B,119B,253
238B,236B,146
238B,239B,158
238M,237M,112
238M,241M,227
238M,242M,189
239B,237B,131
239B,238B,299
239B,240B,456
239B,241B,148
239M,157M,580
239M,235M,131
239M,244M,160
23AB,01AB,2096
23AB,24AB,286
23AB,29AB,289
23AL,26AL,152
23AS,20AS,169
23BA,22BA,186
23BI,04BI,217
23BI,45BI,117
23CA,09CA,152
23CO,33JA,104
23CR,35CR,409
23CZ,22CZ,152
23CZ,24CZ,361
23CZ,25CZ,135
23CÑ,29CÑ,173
23CÑ,76CÑ,274
23CÑ,80CÑ,288
23CÑ,81CÑ,278
23GC,20GC,142
23GP,45GP,253
23GP,46GP,770
23GP,47GP,153
23GU,17GU,100
23GU,22GU,588
23GU,24GU,537
23GU,25GU,287
23HU,34HU,320
23LO,03LO,439
23LO,19LO,165
23LO,22LO,131
23LO,24LO,747
23LO,25LO,619
23LU,24LU,200
23MA,45CZ,152
23MU,17MU,180
23MU,67MU,153
23MU,68MU,220
23NA,47NA,192
23PA,19PA,116
23PA,21PA,164
23PA,22PA,172
23PO,30PO,502
23PO,49PO,254
23SA,31SA,105
23SG,10SG,106
23SG,22SG,198
23TF,09TF,480
23TF,26TF,380
23TO,12TO,113
23VA,21VA,125
23VA,45VA,169
240B,069B,183
240B,238B,100
240B,239B,477
240B,241B,202
240M,234M,124
240M,235M,166
240M,237M,147
240M,241M,192
241B,119B,214
241B,239B,142
241B,240B,227
241M,233M,115
241M,238M,250
241M,240M,196
242B,060B,145
242B,243B,332
242B,244B,147
242B,245B,292
242M,238M,197
242M,271M,133
243B,060B,256
243B,242B,277
243B,244B,163
243M,162M,173
243M,244M,211
243M,245M,340
243M,247M,326
244B,070B,183
244B,242B,101
244B,243B,184
244B,245B,276
244M,157M,116
244M,162M,211
244M,238M,153
244M,243M,266
245B,242B,257
245B,244B,391
245M,243M,368
245M,246M,230
245M,247M,327
245M,274M,132
246M,238M,179
246M,245M,386
246M,274M,161
246M,276M,200
246M,281M,177
247M,243M,231
247M,245M,261
247M,248M,396
247M,249M,259
248M,243M,118
248M,247M,612
248M,249M,226
249M,163M,116
249M,168M,135
249M,247M,110
249M,248M,170
249M,250M,180
24AB,01AB,1530
24AB,23AB,284
24AB,25AB,183
24AB,26AB,132
24AB,29AB,105
24AL,01AL,219
24AL,32AL,666
24AL,40AL,120
24AS,37AS,175
24AS,57AS,122
24BU,02VI,537
24BU,09BU,126
24CA,22CA,121
24CA,30CA,164
24CA,46CA,107
24CA,49CA,156
24CA,50CA,494
24CO,59CO,445
24CS,17CS,157
24CS,20CS,180
24CS,32CS,225
24CZ,20HU,233
24CZ,22CZ,111
24CZ,23CZ,263
24CZ,25CZ,572
24CZ,27CZ,111
24GI,52GI,154
24GP,43GP,122
24GR,47GR,125
24GU,03GU,186
24GU,22GU,217
24GU,23GU,820
24HU,19HU,382
24HU,26HU,123
24HU,29HU,135
24HU,30HU,101
24HU,31HU,164
24HU,32HU,164
24HU,37HU,105
24HU,42HU,157
24JA,44JA,100
24LL,41LL,144
24LO,03LO,278
24LO,23LO,920
24LO,25LO,407
24MU,47MU,163
24PA,02PA,162
24PA,17BU,107
24PA,19PA,135
24PA,22PA,276
24PO,39PO,149
24SA,14SA,127
24SA,15SA,141
24SG,22SG,107
24TA,56TA,239
24TF,32TF,227
24TF,34TF,187
24TF,39TF,173
250M,168M,200
250M,170M,253
250M,171M,165
250M,249M,170
251M,172M,215
251M,257M,301
251M,258M,296
252M,253M,154
252M,254M,197
252M,282M,132
253B,001B,179
253B,073B,276
253B,255B,458
253B,256B,467
253M,252M,175
253M,255M,178
254B,253B,120
254B,255B,140
254B,256B,106
254M,252M,392
254M,255M,267
254M,256M,368
254M,259M,200
254M,260M,107
254M,282M,301
255B,001B,155
255B,073B,107
255B,253B,464
255B,254B,125
255B,256B,608
255M,253M,262
255M,254M,208
255M,256M,293
255M,257M,291
255M,258M,107
255M,259M,370
256B,073B,143
256B,253B,296
256B,255B,397
256M,254M,246
256M,255M,234
256M,259M,370
256M,282M,140
257M,251M,240
257M,255M,213
257M,259M,111
258B,259B,381
258B,260B,295
258B,263B,266
258M,192M,140
258M,251M,214
258M,259M,567
259B,258B,357
259B,260B,518
259M,192M,200
259M,255M,190
259M,256M,284
259M,258M,526
259M,282M,131
259M,283M,248
259M,290M,371
25AB,01AB,945
25AB,23AB,107
25AB,24AB,269
25AB,26AB,274
25AL,13AL,101
25AS,13AS,130
25BA,49BA,148
25BI,05BI,185
25BI,06BI,232
25BI,26BI,132
25BI,66BI,123
25BI,68BI,217
25BU,03BU,103
25BU,26BU,155
25BU,29BU,377
25CA,52CA,208
25CA,53CA,107
25CZ,017S,148
25CZ,20HU,140
25CZ,21CZ,159
25CZ,22CZ,473
25CZ,23CZ,199
25CZ,24CZ,769
25GC,36GC,128
25GR,47GR,206
25GU,22GU,309
25GU,23GU,170
25HU,26HU,292
25HU,27HU,418
25HU,28HU,147
25JA,35JA,103
25LO,03LO,234
25LO,19LO,245
25LO,23LO,786
25LO,24LO,391
25LO,26LO,507
25LU,10LU,101
25MA,56MA,142
25MU,08MU,100
25MU,67MU,184
25MU,68MU,1809
25NA,23LO,134
25OU,14OU,119
25SA,09SA,122
25TA,24TA,166
25TF,27TF,882
25TF,28TF,958
25TF,32TF,110
25ZA,42ZA,454
25ZA,66ZA,160
260B,258B,283
260B,259B,481
260B,261B,444
260M,279M,140
261B,260B,448
261M,112M,153
261M,114M,282
261M,262M,496
261M,264M,148
261M,266M,168
262B,051B,387
262B,055B,396
262B,260B,146
262B,261B,136
262B,263B,596
262M,119M,111
262M,261M,399
262M,266M,340
263B,051B,121
